input_data,expected_output,metadata,intent,complexity_level,source_channel,context_id,region,confidence_threshold,policy_reference,last_updated
"Am I eligible for housing assistance if I make $45,000 a year and live in Virginia?","Eligibility for federal housing assistance depends on your household size and local income limits. In Virginia, a single person earning $45,000 likely exceeds the threshold for most HUD programs. You can confirm your eligibility through HUD’s Income Limits Tool.",,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_001,Federal,0.9,General Federal Benefits Guidance,2025-11-02
Do veterans get priority for housing programs?,"Yes. Many HUD-VASH programs prioritize veterans, especially those experiencing homelessness or at risk of becoming homeless.",,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_002,Federal,0.9,General Federal Benefits Guidance,2025-11-02
Can I apply for assistance if I’m already working?,Yes. Employment does not automatically disqualify you. Eligibility is based on household income relative to your area’s median income.,,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_003,Federal,0.9,General Federal Benefits Guidance,2025-11-02
"Do I qualify for Medicaid if I’m 63 and make $22,000 a year?","Eligibility for Medicaid varies by state. In most states, an individual earning $22,000 annually may qualify, especially if they’re over 60. You should check your state’s specific income limits at Medicaid.gov.",,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_004,Federal,0.9,General Federal Benefits Guidance,2025-11-02
What’s the income limit for SNAP benefits for a family of four?,"As of 2024, a family of four generally qualifies for SNAP if their gross monthly income is below approximately $3,250, though limits vary by state.",,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_005,Federal,0.9,General Federal Benefits Guidance,2025-11-02
"If I’m on Medicare, can I still apply for Medicaid?","Yes, it’s possible to qualify for both Medicare and Medicaid. People who qualify for both are called ‘dual eligibles’ and receive coordinated benefits.",,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_006,Federal,0.9,General Federal Benefits Guidance,2025-11-02
What documents do I need to apply for benefits?,"You’ll typically need proof of identity, income, residency, and citizenship status — such as a driver’s license, pay stubs, and utility bills.",,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_007,Federal,0.9,General Federal Benefits Guidance,2025-11-02
How long does it take to get a decision?,Processing times vary by program but typically range from 30 to 60 days after submitting all required documents.,,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_008,Federal,0.9,General Federal Benefits Guidance,2025-11-02
Can I apply on behalf of a family member?,"Yes, you can apply on behalf of a family member if you have legal authorization or power of attorney.",,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_009,Federal,0.9,General Federal Benefits Guidance,2025-11-02
My benefits were denied — what can I do?,You can appeal your benefits decision. The appeal process usually involves submitting a written request within 30 days of the denial notice. Visit your state’s benefits portal for specific instructions.,,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_010,Federal,0.9,General Federal Benefits Guidance,2025-11-02
"If I move to another state, will I lose my benefits?",Most benefits don’t automatically transfer across states. You’ll need to reapply in your new state to ensure continuity.,,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_011,Federal,0.9,General Federal Benefits Guidance,2025-11-02
Can I appeal a decision online?,Yes. Most federal and state agencies now offer online appeal submission through their official portals.,,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_012,Federal,0.9,General Federal Benefits Guidance,2025-11-02
Is my personal data safe when applying?,Yes. Federal agencies use encrypted systems and comply with the Privacy Act to protect your data. Never share your Social Security number outside official portals.,,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_013,Federal,0.9,General Federal Benefits Guidance,2025-11-02
Can I call someone to help me fill out the form?,Yes. You can call your local benefits office or the national helpline for assistance. Contact information is available on Benefits.gov.,,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_014,Federal,0.9,General Federal Benefits Guidance,2025-11-02
Do veterans get priority for housing?,"No, veterans apply the same way as anyone else.",,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_015,Federal,0.9,General Federal Benefits Guidance,2025-11-02
Can I apply if I’m unemployed?,You must be employed to qualify.,,Eligibility Inquiry,basic,Citizen Chatbot,citizen_eligibility_demo_016,Federal,0.9,General Federal Benefits Guidance,2025-11-02
